페이지,테마,일본어 단어,요미가나,단어 뜻,단어[요미가나],참고
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",改札,かいさつ,개찰,改札[かいさつ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",価格,かかく,가격,価格[かかく],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",各駅,かくえき,각 역,各駅[かくえき],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",観客,かんきゃく,관객,観客[かんきゃく],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",完成,かんせい,완성,完成[かんせい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",血液型,けつえきがた,혈액형,血液型[けつえきがた],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",方角,ほうがく,방향,方角[ほうがく],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",録画,ろくが,녹화,録画[ろくが],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",延期,えんき,연기,延期[えんき],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",気温,きおん,기온,気温[きおん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",機械,きかい,기계,機械[きかい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",議会,ぎかい,의회,議会[ぎかい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",疑問,ぎもん,의문,疑問[ぎもん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",行事,ぎょうじ,행사,行事[ぎょうじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",訓練,くんれん,훈련,訓練[くんれん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",予約,よやく,예약,予約[よやく],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",家具,かぐ,가구,家具[かぐ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",偶然,ぐうぜん,우연,偶然[ぐうぜん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",会計,かいけい,(대금) 계산,会計[かいけい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",経営,けいえい,경영,経営[けいえい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",外科,げか,외과,外科[げか],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",下車,げしゃ,하차,下車[げしゃ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",現象,げんしょう,현상,現象[げんしょう],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",上下,じょうげ,상하,上下[じょうげ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",講義,こうぎ,강의,講義[こうぎ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",工事,こうじ,공사,工事[こうじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",敬語,けいご,경어,敬語[けいご],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",集合,しゅうごう,집합,集合[しゅうごう],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",単語,たんご,단어,単語[たんご],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",団子,だんご,경단,団子[だんご],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",削除,さくじょ,삭제,削除[さくじょ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",制作,せいさく,제작,制作[せいさく],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",残業,ざんぎょう,잔업,残業[ざんぎょう],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",存在,そんざい,존재,存在[そんざい],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",指示,しじ,지시,指示[しじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",指導,しどう,지도,指導[しどう],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",首都,しゅと,수도,首都[しゅと],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",維持,いじ,유지,維持[いじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",個人,こじん,개인,個人[こじん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",文字,もじ,문자,文字[もじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",睡眠,すいみん,수면,睡眠[すいみん],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",数字,すうじ,숫자,数字[すうじ],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",合図,あいず,신호,合図[あいず],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",図,ず,그림,図[ず],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",頭痛,ずつう,두통,頭痛[ずつう],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",地図,ちず,지도,地図[ちず],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",成績,せいせき,성적,成績[せいせき],
JLPT_N3_암기장::2p,"[탁음, 반탁음에 주의해야하는 단어]",節約,せつやく,절약,節約[せつやく],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",専門家,せんもんか,전문가,専門家[せんもんか],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",以前,いぜん,이전,以前[いぜん],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",完全,かんぜん,완전,完全[かんぜん],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",税金,ぜいきん,세금,税金[ぜいきん],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",想像,そうぞう,상상,想像[そうぞう],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",相談,そうだん,상담,相談[そうだん],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",製造,せいぞう,제조,製造[せいぞう],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",増加,ぞうか,증가,増加[ぞうか],
JLPT_N3_암기장::3p,"[탁음, 반탁음에 주의해야하는 단어]",保存,ほぞん,보존,保存[ほぞん],
