페이지,픅징,문형,문형 뜻,예문,예문 뜻,예문 요미가나
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～だって,"~라도, ~조차도",そのくらいは小学生だって知っているはずだ。,그 정도는 초등학생이라도 알고 있을 것이다。,そのくらいは小学生[しょうがくせい]だって知[し]っているはずだ。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～でしかない,~에 불과하다,スマホはただの連絡手段でしかない。,스마트폰은 그저 연락수단에 불과하다。,スマホ[すまほ]はただの連絡手段[れんらくしゅだん]でしかない。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～でなくてもよければ,~이 아니어도 괜찮다면,今日でなくてもよければ買い物に付き合える。,오늘이 아니라도 좋다면 쇼핑에 같이 갈 수 있다。,今日[きょう]でなくてもよければ買[か]い物[もの]に付き合[つきあ]える。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～として,~로서,彼は歌手として有名になった。,그는 가수로서 유명해졌다。,彼[かれ]は歌手[かしゅ]として有名[ゆうめい]になった。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～としては,~의 입장에서는,私としてはあなたの意見に賛成することができません。,저의 입장으로서는 당신의 의견에 찬성하는 것이 불가능합니다。,私[わたし]としてはあなたの意見[いけん]に賛成[さんせい]することができません。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～において,"~에서, ~에 있어서",人生においてもっとも重要だと思うことは何ですか。,인생에 있어서 가장 중요하다고 생각하는 것은 무엇인가요?,人生[じんせい]においてもっとも重要[じゅうよう]だと思[おも]うことは何[なに]ですか。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～にかけて,~에 걸쳐,この仕事は夏休みにかけて特に忙しくなる。,이 일은 여름 방학에 걸쳐 특히 바빠진다。,この仕事[しごと]は夏休[なつやす]みにかけて特[とく]に忙[いそが]しくなる。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～に比べて,~에 비해,日本に比べてベトナムの方が物価が安い。,일본에 비하여 베트남 쪽이 물가가 싸다。,日本[にほん]に比[くら]べてベトナム[べとなむ]の方[ほう]が物価[ぶっか]が安[やす]い。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～に加えて,~에 더하여,彼女は仕事に加えて子育てもしている。,그녀는 일에 더하여 육아도 하고 있다。,彼女[かのじょ]は仕事[しごと]に加[くわ]えて子育[こそだ]てもしている。
JLPT_N3_암기장::50p,[명사 뒤에 접속하는 문형],～にしかできない,~만이 할 수 있다,この仕事はあなたにしかできない。,이 일은 당신만이 할 수 있다。,この仕事[しごと]はあなたにしかできない。
JLPT_N3_암기장::51p,[명사 뒤에 접속하는 문형],～にする,"~로 하다, 결정",私はハンバーグにします。,저는 햄버거로 할게요。,私はハンバーグ[はんばーぐ]にします。
JLPT_N3_암기장::51p,[명사 뒤에 접속하는 문형],～に対して,"~에 대하여, ~에 대해",この美術館は学生に対して割引サービスを行っています。,이 미술관은 학생에 대하여 할인 서비스를 시행하고 있습니다。,この美術館[びじゅつかん]は学生[がくせい]に対[たい]して割引[わりびき]サービスを行[おこな]っています。
JLPT_N3_암기장::51p,[명사 뒤에 접속하는 문형],～について,~에 대하여,農村について調べている。,농촌에 대해서 조사하고 있다。,農村[のうそん]について調[しら]べている。
JLPT_N3_암기장::51p,[명사 뒤에 접속하는 문형],～にとって,"~에게 있어서, ~에게는",私にとって人生でいちばん大切なのは家族の幸せだ。,나에게 있어서 인생에서 가장 소중한 것은 가족의 행복이다。,私[わたし]にとって人生[じんせい]でいちばん大切[たいせつ]なのは家族[かぞく]の幸[しあわ]せだ。
JLPT_N3_암기장::51p,[명사 뒤에 접속하는 문형],～に反して,"~와 달리, ~에 반하여",予想に反して、今年の試験は難しくなかったそうだ。,"예상과 달리, 올해 시험은 어렵지 않았다고 한다。",予想[よそう]に反[はん]して、今年[ことし]の試験[しけん]は難[むずか]しくなかったそうだ。
