한자형태,요미가나,한자[요미가나],한글뜻,연도
返す,かえす,返[かえ]す,돌려주다,2024
家具,かぐ,家[か]具[ぐ],가구,2024
加熱,かねつ,加[か]熱[ねつ],가열,2024
感情的,かんじょうてき,感[かん]情[じょう]的[てき],감정적,2024
基本,きほん,基[き]本[ほん],기본,2024
配る,くばる,配[くば]る,"나누어 주다, 배포하다",2024
最初,さいしょ,最[さい]初[しょ],"최초, 처음",2024
主要,しゅよう,主[しゅ]要[よう],주요,2024
石油,せきゆ,石[せき]油[ゆ],석유,2024
適当だ,てきとう,適[てき]当[とう]だ,적당하다,2024
残す,のこす,残[のこ]す,남기다,2024
深い,ふかい,深[ふか]い,깊다,2024
父母,ふぼ,父[ふ]母[ぼ],부모,2024
包丁,ほうちょう,包[ほう]丁[ちょう],부엌칼,2024
横,よこ,横[よこ],옆,2024
割る,わる,割[わ]る,"나누다, 쪼개다, 깨뜨리다",2024
疑う,うたがう,疑[うたが]う,의심하다,2023
裏,うら,裏[うら],"뒤, 뒤쪽",2023
月末,げつまつ,月[げつ]末[まつ],월말,2023
高価,こうか,高[こう]価[か],고가,2023
小型,こがた,小[こ]型[がた],소형,2023
断る,ことわる,断[ことわ]る,거절하다,2023
産業,さんぎょう,産[さん]業[ぎょう],산업,2023
選手,せんしゅ,選[せん]手[しゅ],선수,2023
退院,たいいん,退[たい]院[いん],퇴원,2023
朝刊,ちょうかん,朝[ちょう]刊[かん],조간,2023
広場,ひろば,広[ひろ]場[ば],광장,2023
夫婦,ふうふ,夫[ふう]婦[ふ],부부,2023
復習,ふくしゅう,復[ふく]習[しゅう],복습,2023
細い,ほそい,細[ほそ]い,얇다,2023
汚す,よごす,汚[よご]す,더럽히다,2023
留守,るす,留[る]守[す],부재,2023
横断,おうだん,横[おう]断[だん],횡단,2022
角,かど,角[かど],모퉁이,2022
比べる,くらべる,比[くら]べる,비교하다,2022
計算,けいさん,計[けい]算[さん],계산,2022
血圧,けつあつ,血[けつ]圧[あつ],혈압,2022
件,けん,件[けん],건,2022
現在,げんざい,現[げん]在[ざい],현재,2022
情報,じょうほう,情[じょう]報[ほう],정보,2022
包む,つつむ,包[つつ]む,"싸다, 포장하다",2022
複数,ふくすう,複[ふく]数[すう],복수,2022
丸い,まるい,丸[まる]い,둥글다,2022
難しい,むずかしい,難[むずか]しい,어렵다,2022
夕日,ゆうひ,夕[ゆう]日[ひ],석양,2022
有名だ,ゆうめいだ,有[ゆう]名[めい]だ,유명하다,2022
容器,ようき,容[よう]器[き],용기,2022
裏,うら,裏[うら],"뒤, 뒤쪽",2021
過去,かこ,過[か]去[こ],과거,2021
悲しい,かなしい,悲[かな]しい,슬프다,2021
恋しい,こいしい,恋[こい]しい,그립다,2021
呼吸,こきゅう,呼[こ]吸[きゅう],호흡,2021
自然,しぜん,自[し]然[ぜん],자연,2021
増減,ぞうげん,増[ぞう]減[げん],증감,2021
駐車,ちゅうしゃ,駐[ちゅう]車[しゃ],주차,2021
通知,つうち,通[つう]知[ち],통지,2021
動作,どうさ,動[どう]作[さ],동작,2021
努力,どりょく,努[ど]力[りょく],노력,2021
逃げる,にげる,逃[に]げる,"도망치다, 달아나다",2021
残り,のこり,残[のこ]り,나머지,2021
生える,はえる,生[は]える,"나다, 자라다",2021
秒,びょう,秒[びょう],초,2021
郵送,ゆうそう,郵[ゆう]送[そう],우송,2021
預ける,あずける,預[あず]ける,맡기다,2020
岩,いわ,岩[いわ],바위,2020
疑う,うたがう,疑[うたが]う,의심하다,2020
交流,こうりゅう,交[こう]流[りゅう],교류,2020
種類,しゅるい,種[しゅ]類[るい],종류,2020
調査,ちょうさ,調[ちょう]査[さ],조사,2020
普通,ふつう,普[ふ]通[つう],"보통, 대개",2020
留守,るす,留[る]守[す],부재중,2020
印象,いんしょう,印[いん]象[しょう],인상,2019
遅い,おそい,遅[おそ]い,늦다,2019
各駅,かくえき,各[かく]駅[えき],각역,2019
勝つ,かつ,勝[か]つ,이기다,2019
腰,こし,腰[こし],허리,2019
上品だ,じょうひんだ,上[じょう]品[ひん]だ,고상하다,2019
線,せん,線[せん],선,2019
助ける,たすける,助[たす]ける,"돕다, 살리다",2019
昼食,ちゅしょく,昼[ちゅ]食[しょく],"중식, 점심 식사",2019
調査,ちょうさ,調[ちょう]査[さ],조사,2019
包む,つつむ,包[つつ]む,"싸다, 포장하다",2019
方角,ほうがく,方[ほう]角[がく],"방위, 방향",2019
未来,みらい,未[み]来[らい],미래,2019
郵便,ゆうびん,郵[ゆう]便[びん],우편,2019
予約,よやく,予[よ]約[やく],예약,2019
若い,わかい,若[わか]い,젊다,2019
遊ぶ,あそぶ,遊[あそ]ぶ,놀다,2018
疑う,うたがう,疑[うたが]う,의심하다,2018
改札,かいさつ,改[かい]札[さつ],개찰(구),2018
換える,かえる,換[か]える,바꾸다,2018
機械,きかい,機[き]械[かい],기계,2018
休日,きゅうじつ,休[きゅう]日[じつ],휴일,2018
血圧,けつあつ,血[けつ]圧[あつ],혈압,2018
恋しい,こいしい,恋[こい]しい,그립다,2018
塩,しお,塩[しお],소금,2018
制服,せいふく,制[せい]服[ふく],제복,2018
相談,そうだん,相[そう]談[だん],"상담, 상의",2018
卒業,そつぎょう,卒[そつ]業[ぎょう],졸업,2018
確かに,たしかに,確[たし]かに,확실히,2018
得意だ,とくいだ,得[とく]意[い]だ,자신있다,2018
部分,ぶぶん,部[ぶ]分[ぶん],부분,2018
命令,めいれい,命[めい]令[れい],명령,2018
位置,いち,位[い]置[ち],위치,2017
過去,かこ,過[か]去[こ],과거,2017
下線,かせん,下[か]線[せん],밑줄,2017
汚い,きたない,汚[きたな]い,더럽다,2017
禁煙,きんえん,禁[きん]煙[えん],금연,2017
計算,けいさん,計[けい]算[さん],계산,2017
転ぶ,ころぶ,転[ころ]ぶ,넘어지다,2017
